dTAlk_dK0,dTCO2_dK0,dHin_dK0,dpCO2in_dK0,dfCO2in_dK0,dHCO3in_dK0,dCO3in_dK0,dCO2in_dK0,dRFin_dK0,dOmegaCAin_dK0,dOmegaARin_dK0,dxCO2in_dK0,dHout_dK0,dpCO2out_dK0,dfCO2out_dK0,dHCO3out_dK0,dCO3out_dK0,dCO2out_dK0,dRFout_dK0,dOmegaCAout_dK0,dOmegaARout_dK0,dxCO2out_dK0
-9196.7868767744,0,206.583966837743,0,0,6122.50953201965,-6521.21806653963,398.708534522572,120.851240424974,-159.103982023718,-104.175147636668,0,170.702537059354,2475.27132076521,2465.98434248359,6080.83964828786,-6412.3128033407,331.473155049705,128.439010877766,-115.605727613175,-74.9832813830728,2509.34901655263
0,0,0,-16309.327196319,-16256.669863733,0,0,0,-5.07829072910895e-08,0,0,-16794.7710506862,0,-6663.05575956685,-6638.0566196291,0,0,-2.61228946970625e-11,2.62535091705478e-08,0,0,-6754.78775891868
0,6847.99903188725,201.164339583628,0,0,10919.6061589099,-4476.60712688916,404.999999999976,122.309646399522,-109.21978265049,-71.5128989088582,0,166.480476560257,2484.59234444161,2475.27039458194,10903.1908273377,-4391.7077892852,336.515993832625,130.463523698864,-79.1768258997451,-51.3550525396471,2518.79836515493
0,6876.45954924258,198.246523376156,0,0,10977.1680267673,-4499.41701190932,398.708534522572,120.832305195825,-109.776295789474,-71.8772822365262,0,163.971877198214,2443.14903567295,2433.9825770939,10960.2544331705,-4414.89626262339,331.101378690961,128.712865663412,-79.5948841596505,-51.6262102130992,2476.78449571421
0,0,0,-15428.9152966435,-15379.1005179922,0,0,0,-9.18480977548717e-08,0,0,-15888.1538673178,0,-6315.87577064398,-6292.17921640274,0,0,0,7.41367751502634e-08,0,0,-6402.82805395031
0,0,0,-29251.9130402327,-29157.4684506319,0,0,0,2.2259318571367e-07,0,0,-30122.5903675636,0,-12218.8060782027,-12172.9623011078,0,0,-5.2245789394125e-11,-6.06834843812762e-08,0,0,-12387.0255186021
65963.2176519869,60459.3699648603,0,0,0,54145.5222777425,5908.84768712051,404.999999999976,85.09334878441,144.163434898203,94.3926539317538,0,-7.6555786653397,2040.89431570174,2033.23707787587,54400.0157380136,5739.72270126558,319.631525585601,89.332205822804,103.479795750447,67.1182544534616,2068.99183173573
64938.5131911565,59520.1649304981,0,0,0,53304.3996007905,5817.05679518261,398.708534522572,85.6737823408181,141.923930518536,92.9263128859978,0,-7.70885755922467,2008.48024604446,2000.94462266938,53556.5334750057,5648.85665760324,314.774797884155,89.9276275652769,101.841598205346,66.0556995954823,2036.1315092597
-9124.76754493074,0,209.812476731914,0,0,6054.11168098325,-6459.11168097805,404.999999999976,122.543432845646,-157.588717060776,-103.18301061272,0,173.478076050857,2517.28704970588,2507.84243247851,6012.64366129913,-6349.55940986677,336.91574856581,130.41636959022,-114.474364884118,-74.2494657529102,2551.94318682119
-9196.7868767744,0,206.583966837743,0,0,6122.50953201965,-6521.21806653963,398.708534522572,120.851240424974,-159.103982023718,-104.175147636668,0,170.702537059354,2475.27132076521,2465.98434248359,6080.83964828786,-6412.3128033407,331.473155049705,128.439010877766,-115.605727613175,-74.9832813830728,2509.34901655263
