dTAlk_dKW,dTCO2_dKW,dHin_dKW,dpCO2in_dKW,dfCO2in_dKW,dHCO3in_dKW,dCO3in_dKW,dCO2in_dKW,dRFin_dKW,dOmegaCAin_dKW,dOmegaARin_dKW,dxCO2in_dKW,dHout_dKW,dpCO2out_dKW,dfCO2out_dKW,dHCO3out_dKW,dCO3out_dKW,dCO2out_dKW,dRFout_dKW,dOmegaCAout_dKW,dOmegaARout_dKW,dxCO2out_dKW
0,-113714837764702,376954209238.51,0,0,-91551031938833.5,-22163805793486,0,-4356470031174.71,-540750167004.711,-354062341911.456,0,1052459912488.35,32745157190235.1,32622300531530.8,-70682683927457.9,-44388202393777.4,1356048556460.94,-5163966530320.46,-800262025979.492,-519059685994.134,33195968176532.1
0,-115388302663364,0,-26361359454178.9,-26276247489547.9,-103338157777827,-11277191702896.6,-772953185027.697,-4613165300965.39,-275139718935.365,-180150870374.379,-27146000033486.6,777334030884.994,19276602974279.6,19204279026996.8,-85270061574982.6,-30916527368360.4,798286277431.12,-5436402567329.03,-557385104454.091,-361526759869.51,19541988916951
0,0,5286471363221.29,346783880798575,345664232272201,35061421892694,-45229626821673.8,10168204930639.7,-2506897716358.01,-1103507605377.15,-722534195852.757,357105833486793,5571284657234.24,260652811531316,259674867425206,42725308434619.7,-53519511275263.5,10794202842362,-3142035230685.09,-964887745221.98,-625837930324.397,264241285708708
125892541181291,0,0,0,0,0,0,0,-4708414182024.64,0,0,0,815863814627.39,32440707332357.2,32318992940291.2,17566797925580.6,-18910238547046.8,1343440622179.64,-5552601386638.77,-340927205770.581,-221129533367.341,32887326879007.1
125892541179427,0,0,0,0,0,0,0,-4740531323146.12,0,0,0,823103295139.724,32220209619037.9,32099322512811,17428671153687.8,-18762980481895.2,1334309329736.15,-5588321885212.38,-338272332826.145,-219407550474.088,32663793517219.3
146450722166294,0,0,0,0,0,0,0,-4268759811380.83,0,0,0,680422421684.778,31910027213026.2,31790303881449.7,23583001501585.8,-24904465499834.9,1321463998118.1,-5066365263768.98,-448995384850.024,-291223869067.351,32349340750530.5
148536531905400,0,0,0,0,0,0,0,-4262014896226.2,0,0,0,675150583229.018,31657810626670.6,31539033587056.9,24050483858207.1,-25361503016621.7,1311019157788.49,-5060617885370.64,-457235181680.297,-296568301534.059,32093651833380.4
125892541179427,0,0,0,0,0,0,0,-4354550644412.25,0,0,0,739605968469.448,34723997396306.4,34593716319887.6,19010315288112.2,-20448311945584.9,1437996656089.48,-5155197895787.96,-368656684949.723,-239115210913.908,35202051583755.6
0,-112480720928466,377493264013.826,0,0,-90781819563580.6,-21698901330872.3,0,-4359350000588.85,-529407477572.199,-346635586580.519,0,1057482423864.18,32998719375399.8,32874911375918.9,-70277088952263.8,-43570181096593.2,1366549120959,-5165917758381.18,-785514157275.458,-509494038932.8,33453021217388.7
0,-113714837764702,376954209238.51,0,0,-91551031938833.5,-22163805793486,0,-4356470031174.71,-540750167004.711,-354062341911.456,0,1052459912488.35,32745157190235.1,32622300531530.8,-70682683927457.9,-44388202393777.4,1356048556460.94,-5163966530320.46,-800262025979.492,-519059685994.134,33195968176532.1
0,-115388302663364,0,-26361359454178.9,-26276247489547.9,-103338157777827,-11277191702896.6,-772953185027.697,-4613165300965.39,-275139718935.365,-180150870374.379,-27146000033486.6,777334030884.994,19276602974279.6,19204279026996.8,-85270061574982.6,-30916527368360.4,798286277431.12,-5436402567329.03,-557385104454.091,-361526759869.51,19541988916951
0,0,5286471363221.29,346783880798575,345664232272201,35061421892694,-45229626821673.8,10168204930639.7,-2506897716358.01,-1103507605377.15,-722534195852.757,357105833486793,5571284657234.24,260652811531316,259674867425206,42725308434619.7,-53519511275263.5,10794202842362,-3142035230685.09,-964887745221.98,-625837930324.397,264241285708708
125892541177564,0,0,0,0,0,0,0,-5346243721184.28,0,0,0,1053764017814.81,43377205670702.9,43214458595811.6,19870430436207.8,-21666775368333.6,1796344930990.14,-6433644910240.55,-390624008578.346,-253363484274.705,43974390798135.6
125892541177564,0,0,0,0,0,0,0,-5379705684439.19,0,0,0,1063135839530.57,43083162826392.8,42921518971836.3,19713550748329.9,-21497718719609.9,1784167973900.85,-6470933060163.51,-387576135294.899,-251386596581.088,43676299790345.3
158501527900372,0,0,0,0,0,0,0,-4620018499411.28,0,0,0,793271730009.011,41964436089439.6,41806989589041.3,31013679584948.9,-32751518639744.3,1737839053616.04,-5619181378679.35,-590467629843.54,-382984488316.052,42542171255201.9
160758970032177,0,0,0,0,0,0,0,-4612715774458.3,0,0,0,786893944168.577,41620499547155,41464343463652,31619152840918.5,-33342748730174.4,1723595889372.38,-5613561471269.24,-601126745655.757,-389898120507.383,42193499650069.1
125892541179427,0,0,0,0,0,0,0,-4769374553041.68,0,0,0,905270969822.215,47951294765310.1,47771386151139.9,22345660348216.1,-24331428311948.2,1985767961635.43,-5779027859037.41,-438664263605.56,-284522978143.245,48611452551320.5
0,-121736280030731,377493264130.309,0,0,-98251868554352.3,-23484411439103.9,0,-4718063995563.04,-572970162521.498,-375158751612.584,0,1168313674292.76,43324918529324.9,43162367630856.6,-71085154963541,-52445304675075,1794179606138.11,-5729207681298.24,-945521186009.569,-613276544407.538,43921383806377.9
0,-123071947099874,376954209027.386,0,0,-99084376160374,-23987570900827.9,0,-4714941837191.5,-585246193343.613,-383196622862.775,0,1162362048426.66,42981466011081.5,42820203713081.8,-71443950638300.1,-53407952949611.6,1779956486406.95,-5727664414086.59,-962876492527.536,-624533407357.516,43573202888779.4
0,-116176968701632,0,-28924508265364.5,-28831120755326.2,-104765179394533,-10563680894077.8,-848108415205.334,-5022256103874.24,-257731558419.353,-168752678639.66,-29785440455136.7,943873420952.201,30966273181890.8,30850090723788.5,-83350672261091.3,-34108677522040.2,1282381080145.12,-6056587356783.61,-614935453676.143,-398854616525.813,31392593815534.8
