dTAlk_dSit,dTCO2_dSit,dHin_dSit,dpCO2in_dSit,dfCO2in_dSit,dHCO3in_dSit,dCO3in_dSit,dCO2in_dSit,dRFin_dSit,dOmegaCAin_dSit,dOmegaARin_dSit,dxCO2in_dSit,dHout_dSit,dpCO2out_dSit,dfCO2out_dSit,dHCO3out_dSit,dCO3out_dSit,dCO2out_dSit,dRFout_dSit,dOmegaCAout_dSit,dOmegaARout_dSit,dxCO2out_dSit
0.0478797622539162,0,0,0,0,0,0,0,-0.00111133212475537,0,0,0,1.40396505088342e-05,0.000632645516892178,0.000630271889197781,0.000577792464658441,-0.000603991732835592,2.61992340710994e-05,-0.00117273534409412,-1.08891917705019e-05,-7.06286229501503e-06,0.000641355309956731
0.0478797622539162,0,0,0,0,0,0,0,-0.00112091393399771,0,0,0,1.38413897232676e-05,0.000614027220535694,0.000611723451508298,0.000560292907418119,-0.000585721124934913,2.54282099376714e-05,-0.00118253560176617,-1.05597963558538e-05,-6.84921236763569e-06,0.00062248069146636
0.0432705908679038,0,0,0,0,0,0,0,-0.00120683153864334,0,0,0,1.05492462765251e-05,0.000423105789574628,0.000421518338574347,0.000312694980190512,-0.000330216691205945,1.75217360028524e-05,-0.00127358774596089,-5.95338095858225e-06,-3.86143531964445e-06,0.000428930798079802
0.0438598381151661,0,0,0,0,0,0,0,-0.0012034395080462,0,0,0,1.08074281376006e-05,0.000433392678663327,0.00043176663287642,0.000329249026738871,-0.000347196771599543,1.79477383473637e-05,-0.00126965594091639,-6.25950982898355e-06,-4.0599942371006e-06,0.000439359308757031
0.0478797622539162,0,0,0,0,0,0,0,-0.00118293581721214,0,0,0,1.22679735407393e-05,0.000491340104720905,0.000489496646120321,0.000445678718582089,-0.000466026206898563,2.03474681844295e-05,-0.00124621564954921,-8.40185130357409e-06,-5.44954297983678e-06,0.000498104509460954
0,-0.0333182191449535,0.000144631226225058,0,0,-0.0268907215437735,-0.00642749814308724,0,-0.00123773280407131,-0.000156817413277105,-0.000102677990672832,0,0.000120115953035807,0.000532896071566312,0.000530896697152134,-0.0268576963359606,-0.00648259118065628,2.20683915586042e-05,-0.00130502034257532,-0.000116872756095172,-7.58050914780473e-05,0.000540232586369388
0,-0.0336661221505576,0.000144348985623797,0,0,-0.0271043554221241,-0.00656176727034083,0,-0.00123560703014405,-0.000160093297137577,-0.000104822913016274,0,0.000120109270499801,0.00054063915892279,0.000538610733732013,-0.0270614555574856,-0.00662705563930381,2.2389049784502e-05,-0.00130242417254081,-0.000119477263874989,-7.74944069211348e-05,0.000548082277873597
0,-0.0428252228933448,0,-0.00736410213448807,-0.00734032592693714,-0.037338831286129,-0.00527046548199885,-0.00021592612509853,-0.00128282353983872,-0.000128588254118725,-8.41946265595052e-05,-0.00758329316189067,1.47878623124592e-05,-0.00369255630327326,-0.00367870219217049,-0.0371472583689548,-0.00552504768620544,-0.000152916830368586,-0.00134869869015114,-9.96094821440806e-05,-6.46079219457338e-05,-0.00374339267447477
0,0,0.00206520352629498,0.10473886694247,0.104400700365655,0.0105895741095685,-0.0136606691465123,0.00307109506039171,-0.000725971225179451,-0.000333291547101772,-0.000218226443389934,0.107856398320408,0.00159987181926144,0.0640134500523927,0.0637732777818177,0.0104928635513105,-0.0131438005183777,0.00265093693177684,-0.00073811115655073,-0.000236965767127127,-0.000153698879490343,0.0648947396560567
0.0478797622539162,0,0,0,0,0,0,0,-0.00111133212475537,0,0,0,1.40396505088342e-05,0.000632645516892178,0.000630271889197781,0.000577792464658441,-0.000603991732835592,2.61992340710994e-05,-0.00117273534409412,-1.08891917705019e-05,-7.06286229501503e-06,0.000641355309956731
0.0478797622539162,0,0,0,0,0,0,0,-0.00112091393399771,0,0,0,1.38413897232676e-05,0.000614027220535694,0.000611723451508298,0.000560292907418119,-0.000585721124934913,2.54282099376714e-05,-0.00118253560176617,-1.05597963558538e-05,-6.84921236763569e-06,0.00062248069146636
0.0432705908679038,0,0,0,0,0,0,0,-0.00120683153864334,0,0,0,1.05492462765251e-05,0.000423105789574628,0.000421518338574347,0.000312694980190512,-0.000330216691205945,1.75217360028524e-05,-0.00127358774596089,-5.95338095858225e-06,-3.86143531964445e-06,0.000428930798079802
0.0438598381151661,0,0,0,0,0,0,0,-0.0012034395080462,0,0,0,1.08074281376006e-05,0.000433392678663327,0.00043176663287642,0.000329249026738871,-0.000347196771599543,1.79477383473637e-05,-0.00126965594091639,-6.25950982898355e-06,-4.0599942371006e-06,0.000439359308757031
